observedProperty,resultUom,_Year,resultMeanValue,water_name,Country_name,PopulationDensity,TouristMean_1990_2020,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
CAS_14797-65-0,mg{NO2}/L,2009,0.063310051,FRDR609,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2009,0.046732851,FRFR238,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,132.859,FRFR238,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,11.5783758,FRFR327C,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3151-01-7,mmol/L,2009,0.2068,ES014MSPFES-014-NR-038-000-02-02,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_14797-55-8,mg{NO3}/L,2009,2.4777919,ES014MSPFES-014-NR-038-000-02-02,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_7723-14-0,mg{P}/L,2009,0.0133,ES014MSPFES-014-NR-038-000-02-02,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
EEA_3164-08-7,{massRatio},2009,165.232,FRGR0220,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,80.9833,FRGR0220,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,86.6594,FRGR0220,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.0591667,FRGR0220,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-03-3,mg{N}/L,2009,0.93,FRGR0220,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,80.175,FRGR0005B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,[pH],2009,7.68919,FRGR0005B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3163-01-7,mg{Si}/L,2009,9.15458,FRGR0004A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,81.3,FRGR0167A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2009,1.0625,FRGR1496,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14265-44-2,mg{P}/L,2009,0.0385596,FRGR1496,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,[pH],2009,7.63017,FRGR0004A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-01-1,mg{N}/L,2009,1,FRDR179,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-05-5,mg{N}/L,2009,0.244203,FRDR179,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2009,0.01999262,FRDR175B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2009,0.159449248,FRDR174,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,37.9861,FRDR174,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.0566667,FRDR174,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2009,4.125,FRDR174,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2009,503.75,FRDR174,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-01-1,mg{N}/L,2009,1,FRDR174,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-05-5,mg{N}/L,2009,1.43368,FRDR174,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2009,1.10833,FRDR173A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2009,344.667,FRDR173A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2009,1.76667,FRGR0173,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2009,0.106021462,FRGR0173,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-03-3,mg{N}/L,2009,0.928889,FRGR0173,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.0383333,FRGR1022,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,3.881956614,FRGR0171,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-08-7,{massRatio},2009,17.2379,FRGR0171,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2009,0.074298538,FRGR0171,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,18.9363,FRGR0171,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7440-43-9,ug/L,2016,25,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_16887-00-6,mg/L,2016,328.38,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_67-66-3,ug/L,2016,5.41,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_14797-55-8,mg{NO3}/L,2009,5.27313251,FRGR0175,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.0483333,FRGR0175,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3163-01-7,mg{Si}/L,2009,13.5043,FRGR0176,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2009,216.25,FRGR0004B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2009,1.55177,FRGR0004B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2009,1.6,FRGR0178A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2009,1.4375,FRGR0178A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-01-1,mg{N}/L,2009,0.666667,FRGR0178A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14265-44-2,mg{P}/L,2009,0.0319518,FRGR0178A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3121-01-5,Cel,2009,10.0333,FRGR0178A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-02-2,mg{N}/L,2009,2.57827,FRGR0178A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_2921-88-2,ug/L,2016,0.02,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_14797-65-0,mg{NO2}/L,2009,0.03165496,FRDR651,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,103.317,FRDR651,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,96.72,FRDR606,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,93.3182,FRDR1808,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,14.56150975,FRDR609,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,22.8052478,FRFR238,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,98.7412,FRFR238,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.0825,FRFR238,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2009,3.17579,FRFR327C,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2009,0.027189945,FRFR235A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,86.4667,FRGR1507,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-08-7,{massRatio},2009,50.9276,FRGR0186,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,41.6801,FRGR0186,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.0147,ES10603,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_35065-27-1,ug/L,2016,0.02,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_35065-29-3,ug/L,2016,0.02,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_608-93-5,ug/L,2016,0.02,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_127-18-4,ug/L,2016,2.5,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
EEA_3164-08-7,{massRatio},2009,90.3327,ES12086,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_14798-03-9,mg{NH4}/L,2009,0.0081144,ES12086,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
EEA_3164-01-0,ug/L,2009,4.5,FRGR0004B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3121-01-5,Cel,2009,13.1333,FRGR0004B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2009,0.056645801,FRGR0178A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,64.5267,ES014MSPFES-014-NR-038-000-02-02,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
EEA_3161-02-2,mg{N}/L,2009,0.5478,ES014MSPFES-014-NR-038-000-02-02,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
EEA_3152-01-0,[pH],2009,6.6396,ES014MSPFES-014-NR-038-000-02-02,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_1610-18-0,ug/L,2016,0.05,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_7287-19-6,ug/L,2016,0.02,ES040MSBT000030612,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_7440-66-6,ug/L,2016,106.03,ES040MSBT000030596,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_14797-55-8,mg{NO3}/L,2009,3.8253707,ES030MSPF0319010,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
EEA_3163-01-7,mg{Si}/L,2009,13.9065,FRGR0175,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2009,1.8495,FRGR0175,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,82.2333,FRGR0176,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-02-2,mg{N}/L,2009,1.04152,FRGR0176,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
